Feature set,N features,Model,MAE,RMSE,R2,MAE_std
Minimal,15,RandomForest,3.1831514405154655,4.355067435454247,0.35352292937350327,0.07347788423959781
Minimal,15,LightGBM,3.145403921405572,4.319208807769411,0.36421403634093136,0.07421782761937828
Minimal,15,XGBoost,3.154926655842281,4.331126880504794,0.3607537182390784,0.07970760121137753
Balanced,22,RandomForest,3.185640086094778,4.353662257445285,0.35395914531994394,0.0720542167831503
Balanced,22,LightGBM,3.1420931472901583,4.315161032920484,0.365383296913964,0.07800495894715186
Balanced,22,XGBoost,3.1575023062016334,4.331002212859915,0.3607878220839512,0.08206007324719242
Research,22,RandomForest,3.185640086094778,4.353662257445285,0.35395914531994394,0.07205421678315047
Research,22,LightGBM,3.1420931472901583,4.315161032920484,0.365383296913964,0.07800495894715186
Research,22,XGBoost,3.1575023062016334,4.331002212859915,0.3607878220839512,0.08206007324719242
