Feature,Mean_ABS_SHAP,Model,Schema
FLUX_PER_SOLID_BURDEN,0.24184174465468128,LightGBM,2class_normal_vs_abnormal
LIME_PER_TONNE,0.2234282981422766,LightGBM,2class_normal_vs_abnormal
CHARGE_DEVIATION_FROM_120,0.21368924502526052,LightGBM,2class_normal_vs_abnormal
DRI_FRAC,0.21299969845634467,LightGBM,2class_normal_vs_abnormal
DOLO_PER_TONNE,0.20887328832324292,LightGBM,2class_normal_vs_abnormal
CARBON_TO_OXYGEN_RATIO,0.19800203003898564,LightGBM,2class_normal_vs_abnormal
DRI_X_HM,0.18627821568415873,LightGBM,2class_normal_vs_abnormal
OXYGEN_PER_TONNE,0.18171975878685526,LightGBM,2class_normal_vs_abnormal
OXY_PER_HM,0.1719638584358499,LightGBM,2class_normal_vs_abnormal
CPC_X_DRI,0.1680075094999495,LightGBM,2class_normal_vs_abnormal
CARBON_PER_TONNE,0.16771722016120966,LightGBM,2class_normal_vs_abnormal
FLUX_TO_CARBON_RATIO,0.16065072289754612,LightGBM,2class_normal_vs_abnormal
CHARGE_SIZE_TC,0.15832717688590414,LightGBM,2class_normal_vs_abnormal
FLUX_PER_TONNE,0.15508301435597766,LightGBM,2class_normal_vs_abnormal
HM_SQ,0.1451154030463392,LightGBM,2class_normal_vs_abnormal
BUCKET_X_CPC,0.14241233029573885,LightGBM,2class_normal_vs_abnormal
HM_X_OXY_NORM,0.13587031484844597,LightGBM,2class_normal_vs_abnormal
DRI_SQ,0.1274080688335274,LightGBM,2class_normal_vs_abnormal
SHIFT_LABEL,0.12170455072315108,LightGBM,2class_normal_vs_abnormal
HM_X_LIME,0.10496559178885354,LightGBM,2class_normal_vs_abnormal
LIME_TO_DOLO_RATIO,0.10431920007925947,LightGBM,2class_normal_vs_abnormal
BUCKET_SQ,0.10005499873409501,LightGBM,2class_normal_vs_abnormal
DOLO_X_LIME,0.09624077191927755,LightGBM,2class_normal_vs_abnormal
DOLO_X_DRI,0.08197543802672812,LightGBM,2class_normal_vs_abnormal
HM_FRAC,0.07880999740180353,LightGBM,2class_normal_vs_abnormal
BUCKET_X_HM,0.07459987738795493,LightGBM,2class_normal_vs_abnormal
HM_TO_DRI_RATIO,0.07245689767941327,LightGBM,2class_normal_vs_abnormal
DOLO_X_HM,0.06774092610234655,LightGBM,2class_normal_vs_abnormal
SOLID_BURDEN_RATIO,0.06588255175741355,LightGBM,2class_normal_vs_abnormal
BURDEN_SHARE_RANGE,0.06315244594267715,LightGBM,2class_normal_vs_abnormal
LIME_SQ,0.06259725103195668,LightGBM,2class_normal_vs_abnormal
DRI_X_LIME,0.05805842034014659,LightGBM,2class_normal_vs_abnormal
VIRGIN_TO_SCRAP_RATIO,0.050214217494739206,LightGBM,2class_normal_vs_abnormal
BUCKET_X_DRI,0.0461120359813249,LightGBM,2class_normal_vs_abnormal
DRI_TO_BUCKET_RATIO,0.042596032641757146,LightGBM,2class_normal_vs_abnormal
DRI_TO_HBI_RATIO,0.0421648891824574,LightGBM,2class_normal_vs_abnormal
HM_TO_BUCKET_RATIO,0.04087144940767398,LightGBM,2class_normal_vs_abnormal
DOLO_SQ,0.027962607445520017,LightGBM,2class_normal_vs_abnormal
DRI_DOMINANCE,0.02734966746924618,LightGBM,2class_normal_vs_abnormal
VIRGIN_BURDEN_RATIO,0.026509644555082205,LightGBM,2class_normal_vs_abnormal
DOLO_X_HBI,0.01739354868997618,LightGBM,2class_normal_vs_abnormal
HM_TO_HBI_RATIO,0.01665591439939454,LightGBM,2class_normal_vs_abnormal
SCRAP_FRAC,0.01622893091633232,LightGBM,2class_normal_vs_abnormal
BUCKET_X_DOLO,0.014255202702781212,LightGBM,2class_normal_vs_abnormal
SHIFT_B,0.013606828401905658,LightGBM,2class_normal_vs_abnormal
SCRAP_DOMINANCE,0.006247726089057686,LightGBM,2class_normal_vs_abnormal
BUCKET_X_HBI,0.004310457398783182,LightGBM,2class_normal_vs_abnormal
CPC_X_HBI,0.0020467536724638196,LightGBM,2class_normal_vs_abnormal
HBI_FRAC,0.001574908585115918,LightGBM,2class_normal_vs_abnormal
HBI_SQ,0.0015347268112469448,LightGBM,2class_normal_vs_abnormal
SHIFT_A,0.0007433658829162596,LightGBM,2class_normal_vs_abnormal
LIQUID_TO_SOLID_RATIO,0.0,LightGBM,2class_normal_vs_abnormal
HM_DOMINANCE,0.0,LightGBM,2class_normal_vs_abnormal
RELATIVE_CHARGE_DEVIATION,0.0,LightGBM,2class_normal_vs_abnormal
LIQUID_BURDEN_RATIO,0.0,LightGBM,2class_normal_vs_abnormal
SHIFT_C,0.0,LightGBM,2class_normal_vs_abnormal
